csg_id	title	author	year	publisher	link
4151	Dánta de chuid Uladh (An tUltach)	Mac Cuarta, Séamas Dall	1733	(Béal Feirste: Comhaltas Uladh, 1950)	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=4151
4158	Dánta de chuid Uladh (An tUltach)	Mac Cuarta, Séamas Dall	1733	(Béal Feirste: Comhaltas Uladh, 1951)	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=4158
4159	Dánta de chuid Uladh (An tUltach)	Mac Cuarta, Séamas Dall	1733	(Béal Feirste: Comhaltas Uladh, 1951)	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=4159
4167	Dánta de chuid Uladh (An tUltach)	Mac Cuarta, Séamas Dall	1733	(Béal Feirste: Comhaltas Uladh, 1952)	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=4167
4172	Dánta de chuid Uladh (An tUltach)	Mac Cuarta, Séamas Dall	1733	(Béal Feirste: Comhaltas Uladh, 1953)	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=4172
4186	Dánta de chuid Uladh (An tUltach)	Mac Cuarta, Séamas Dall	1733	(Béal Feirste: Comhaltas Uladh, 1955)	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=4186
4190	Dánta de chuid Uladh (An tUltach)	Mac Cuarta, Séamas Dall	1733	(Béal Feirste: Comhaltas Uladh, 1955)	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=4190
4191	Dánta de chuid Uladh (An tUltach)	Mac Cuarta, Séamas Dall	1733	(Béal Feirste: Comhaltas Uladh, 1956)	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=4191
4192	Dánta de chuid Uladh (An tUltach)	Mac Cuarta, Séamas Dall	1733	(Béal Feirste: Comhaltas Uladh, 1956)	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=4192
4179	Dánta de chuid Uladh (An tUltach)	Mac Giolla Fhiondain, Pádraig	1733	(Béal Feirste: Comhaltas Uladh, 1954)	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=4179
