csg_id	title	author	year	publisher	link
6472	Seanchus Grinn na Tuaithe. XI - Nuair is cruaidh don chailligh caithfidh sí rith.	Ó Conchubhair, Micheál	1909	Connradh na Gaedhilge	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=6472
5417	Seanchus. An Dearbhráthair Bocht agus an Dearbhráthair Saidhbhir.	Ní fios	1900	Connradh na Gaedhilge	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=5417
5405	Seanchus. Cad do cham srón firín?	Ó Briain, Seaghán	1900	Connradh na Gaedhilge	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=5405
5393	Seanchus. Cearrbhach na Craoibhe.	Ua Ruaidhrí, Seaghán	1900	Connradh na Gaedhilge	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=5393
6176	Seanfhocail.	Féach bailitheoir	1906	Connradh na Gaedhilge	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=6176
6058	Seanfhocail.	Ó hEidhin, Tomás	1905	Connradh na Gaedhilge	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=6058
6132	Seanfhocail. IX.	Féach bailitheoir	1906	Connradh na Gaedhilge	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=6132
6097	Seanfhocail. V.	Féach bailitheoir	1905	Connradh na Gaedhilge	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=6097
6106	Seanfhocail. VI.	Féach bailitheoir	1905	Connradh na Gaedhilge	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=6106
6114	Seanfhocail. VII.	Féach bailitheoir	1906	Connradh na Gaedhilge	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=6114
6123	Seanfhocail. VIII.	Féach bailitheoir	1906	Connradh na Gaedhilge	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=6123
6198	Seanfhocal. XVI.	Féach bailitheoir	1906	Connradh na Gaedhilge	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=6198
4501	Seanmhóir do'n Dara Domhnach de'n Aidbhint.	Ní fios	1888	Connradh na Gaedhilge	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=4501
5132	Seanmóir do rinne an t-Athair Aindrias Mac Niallghuid, Sagart Pobuil Gartáin.	Mac Niallghuis, An tAthair Aindrias	1897	Connradh na Gaedhilge	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=5132
2111	Seanmóirí, Filíocht, Sgeal Fiannuigheachta	Údair éagsúla	1900	Nolan Bros	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=2111
4506	Seanmóra ag an Aifrionn.	Ua Caoimh, An tAthair Pádraic	1888	Connradh na Gaedhilge	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=4506
4901	Seanráidhte do chuala Mogh Nuadhad, as Gaillimh.	Ní fios	1895	Connradh na Gaedhilge	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=4901
4555	Searc-leanmhain Chríost.	Ní fios	1887	Connradh na Gaedhilge	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=4555
5617	Seo Smut Eile ó'n Athair Ua Laoghaire.	Ua Laoghaire, An tAthair	1901	Connradh na Gaedhilge	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=5617
1376	Seoda na Sean	Ní fios	1906	An Claidheamh Soluis	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=1376
1380	Seoda na Sean II	Ní fios	1906	An Claidheamh Soluis	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=1380
1383	Seoda na Sean III	Údair éagsúla	1906	An Claidheamh Soluis	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=1383
1391	Seoda na Sean V	Ní fios	1906	An Claidheamh Soluis	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=1391
5977	Seóirse na mBréag.	Ua Liatháin, Seaghán	1904	Connradh na Gaedhilge	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=5977
5984	Seóirse na mBréag. (ar leanamhaint)	Ua Liatháin, Seaghán	1904	Connradh na Gaedhilge	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=5984
916	Seósamh Bán agus na Constáblaí	Fear Feasa	1901	An Claidheamh Soluis	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=916
5224	Ser agus Estar.	Pléimeann, Donnchadh	1898	Connradh na Gaedhilge	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=5224
1354	Sgaipimís na Leabhra	Ní fios	1906	An Claidheamh Soluis	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=1354
1355	Sgaipimís na Leabhra	Ní fios	1906	An Claidheamh Soluis	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=1355
